dataset,seed,fold,projection_count_left,projection_count_right,spearman_complete_ranking
parkinsons,4,2,5,10,0.9954827780914738
parkinsons,4,2,5,20,0.9920948616600791
parkinsons,4,2,5,40,0.9909655561829477
parkinsons,4,2,10,20,0.989836250705816
parkinsons,4,2,10,40,0.9887069452286844
parkinsons,4,2,20,40,0.9988706945228685
parkinsons,4,3,5,10,0.979672501411632
parkinsons,4,3,5,20,0.979672501411632
parkinsons,4,3,5,40,0.9762845849802373
parkinsons,4,3,10,20,1.0
parkinsons,4,3,10,40,0.9966120835686054
parkinsons,4,3,20,40,0.9966120835686054
parkinsons,4,4,5,10,0.9367588932806326
parkinsons,4,4,5,20,0.935629587803501
parkinsons,4,4,5,40,0.9333709768492378
parkinsons,4,4,10,20,0.9954827780914738
parkinsons,4,4,10,40,0.9932241671372107
parkinsons,4,4,20,40,0.9988706945228685
wine,0,0,5,10,0.9835164835164836
wine,0,0,5,20,0.9780219780219779
wine,0,0,5,40,0.9725274725274725
wine,0,0,10,20,0.989010989010989
wine,0,0,10,40,0.9945054945054945
wine,0,0,20,40,0.9945054945054945
wine,0,1,5,10,0.989010989010989
wine,0,1,5,20,0.9835164835164836
wine,0,1,5,40,0.9835164835164836
wine,0,1,10,20,0.9945054945054945
wine,0,1,10,40,0.9945054945054945
wine,0,1,20,40,1.0
wine,0,2,5,10,0.9945054945054945
wine,0,2,5,20,0.9945054945054945
wine,0,2,5,40,0.9615384615384615
wine,0,2,10,20,0.989010989010989
wine,0,2,10,40,0.967032967032967
wine,0,2,20,40,0.9780219780219779
wine,0,3,5,10,0.9945054945054945
wine,0,3,5,20,0.989010989010989
wine,0,3,5,40,0.9780219780219779
wine,0,3,10,20,0.9945054945054945
wine,0,3,10,40,0.9835164835164836
wine,0,3,20,40,0.989010989010989
wine,0,4,5,10,0.9945054945054945
wine,0,4,5,20,0.9835164835164836
wine,0,4,5,40,0.9835164835164836
wine,0,4,10,20,0.9945054945054945
wine,0,4,10,40,0.9945054945054945
wine,0,4,20,40,1.0
wine,1,0,5,10,0.9560439560439561
wine,1,0,5,20,0.9120879120879121
wine,1,0,5,40,0.9120879120879121
wine,1,0,10,20,0.967032967032967
wine,1,0,10,40,0.967032967032967
wine,1,0,20,40,1.0
wine,1,1,5,10,0.9560439560439561
wine,1,1,5,20,0.9505494505494506
wine,1,1,5,40,0.9615384615384615
wine,1,1,10,20,0.9945054945054945
wine,1,1,10,40,0.9945054945054945
wine,1,1,20,40,0.989010989010989
wine,1,2,5,10,1.0
wine,1,2,5,20,0.9945054945054945
wine,1,2,5,40,0.9835164835164836
wine,1,2,10,20,0.9945054945054945
wine,1,2,10,40,0.9835164835164836
wine,1,2,20,40,0.9945054945054945
wine,1,3,5,10,0.9505494505494506
wine,1,3,5,20,0.945054945054945
wine,1,3,5,40,0.9340659340659341
wine,1,3,10,20,0.9945054945054945
wine,1,3,10,40,0.9835164835164836
wine,1,3,20,40,0.989010989010989
wine,1,4,5,10,0.9725274725274725
wine,1,4,5,20,0.967032967032967
wine,1,4,5,40,0.9395604395604396
wine,1,4,10,20,0.9945054945054945
wine,1,4,10,40,0.967032967032967
wine,1,4,20,40,0.945054945054945
wine,2,0,5,10,1.0
wine,2,0,5,20,0.9780219780219779
wine,2,0,5,40,0.9780219780219779
wine,2,0,10,20,0.9780219780219779
wine,2,0,10,40,0.9780219780219779
wine,2,0,20,40,1.0
wine,2,1,5,10,0.9780219780219779
wine,2,1,5,20,0.9560439560439561
wine,2,1,5,40,0.9395604395604396
wine,2,1,10,20,0.967032967032967
wine,2,1,10,40,0.945054945054945
wine,2,1,20,40,0.9835164835164836
wine,2,2,5,10,0.967032967032967
wine,2,2,5,20,0.967032967032967
wine,2,2,5,40,0.9560439560439561
wine,2,2,10,20,1.0
wine,2,2,10,40,0.9945054945054945
wine,2,2,20,40,0.9945054945054945
wine,2,3,5,10,0.9945054945054945
wine,2,3,5,20,0.9945054945054945
wine,2,3,5,40,0.989010989010989
wine,2,3,10,20,1.0
wine,2,3,10,40,0.9945054945054945
wine,2,3,20,40,0.9945054945054945
wine,2,4,5,10,0.9505494505494506
wine,2,4,5,20,0.9230769230769231
wine,2,4,5,40,0.9505494505494506
wine,2,4,10,20,0.9725274725274725
wine,2,4,10,40,0.989010989010989
wine,2,4,20,40,0.989010989010989
wine,3,0,5,10,1.0
wine,3,0,5,20,0.9945054945054945
wine,3,0,5,40,0.9945054945054945
wine,3,0,10,20,0.9945054945054945
wine,3,0,10,40,0.9945054945054945
wine,3,0,20,40,1.0
wine,3,1,5,10,0.9780219780219779
wine,3,1,5,20,0.9615384615384615
wine,3,1,5,40,0.9615384615384615
wine,3,1,10,20,0.9835164835164836
wine,3,1,10,40,0.9835164835164836
wine,3,1,20,40,1.0
wine,3,2,5,10,1.0
wine,3,2,5,20,0.9835164835164836
wine,3,2,5,40,0.989010989010989
wine,3,2,10,20,0.9835164835164836
wine,3,2,10,40,0.989010989010989
wine,3,2,20,40,0.989010989010989
wine,3,3,5,10,0.9395604395604396
wine,3,3,5,20,0.9395604395604396
wine,3,3,5,40,0.9285714285714285
wine,3,3,10,20,1.0
wine,3,3,10,40,0.9780219780219779
wine,3,3,20,40,0.9780219780219779
wine,3,4,5,10,0.9780219780219779
wine,3,4,5,20,0.9780219780219779
wine,3,4,5,40,0.9780219780219779
wine,3,4,10,20,0.967032967032967
wine,3,4,10,40,0.967032967032967
wine,3,4,20,40,1.0
wine,4,0,5,10,0.9395604395604396
wine,4,0,5,20,0.9340659340659341
wine,4,0,5,40,0.9340659340659341
wine,4,0,10,20,0.9945054945054945
wine,4,0,10,40,0.9945054945054945
wine,4,0,20,40,1.0
wine,4,1,5,10,1.0
wine,4,1,5,20,0.9780219780219779
wine,4,1,5,40,0.9560439560439561
wine,4,1,10,20,0.9780219780219779
wine,4,1,10,40,0.9560439560439561
wine,4,1,20,40,0.967032967032967
wine,4,2,5,10,0.9835164835164836
wine,4,2,5,20,0.9780219780219779
wine,4,2,5,40,0.9725274725274725
wine,4,2,10,20,0.9945054945054945
wine,4,2,10,40,0.989010989010989
wine,4,2,20,40,0.9945054945054945
wine,4,3,5,10,0.9120879120879121
wine,4,3,5,20,0.9120879120879121
wine,4,3,5,40,0.945054945054945
wine,4,3,10,20,1.0
wine,4,3,10,40,0.9780219780219779
wine,4,3,20,40,0.9780219780219779
wine,4,4,5,10,0.9725274725274725
wine,4,4,5,20,0.9725274725274725
wine,4,4,5,40,0.9560439560439561
wine,4,4,10,20,1.0
wine,4,4,10,40,0.989010989010989
wine,4,4,20,40,0.989010989010989
