experiment,task,dataset_type,variant,n_features,n_samples,elapsed_seconds_mean,elapsed_seconds_std,spread_at_10_mean,spread_at_10_std,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,lr_ba_mean,lr_ba_std,confounder_rate_at_5_mean,confounder_rate_at_5_std,confounder_rate_at_10_mean,confounder_rate_at_10_std,ridge_r2_mean,ridge_r2_std
strictness_continuum,clf,clf_weak_signal,r_cforest_bonf,100,1000,4.845428750399151,0.27179087615151826,0.8404040404040405,0.09066184110027022,0.08,0.116619037896906,0.08,0.116619037896906,0.08,0.116619037896906,0.7146607860786078,0.04583970709729899,,,,,,
strictness_continuum,clf,clf_weak_signal,r_cforest_mc,100,1000,6.3022260875994105,0.27199041006040336,0.8404040404040405,0.09066184110027022,0.08,0.116619037896906,0.08,0.116619037896906,0.08,0.116619037896906,0.7146607860786078,0.04583970709729899,,,,,,
strictness_continuum,clf,clf_nonlinear,r_ctree_bonf,100,1000,0.517837085595238,0.039799192613380205,0.33939393939393936,0.35139902877024487,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,0.8311999999999999,0.011822013364905347,,,,,,
strictness_continuum,clf,clf_nonlinear,r_ctree_mc,100,1000,2.0362874568032567,0.03273417617331377,0.6828282828282829,0.2428111390778429,0.34,0.04898979485566358,0.68,0.09797958971132716,0.4533333333333333,0.06531972647421808,0.6908,0.054502843962494274,,,,,,
strictness_continuum,clf,clf_nonlinear,r_cforest_bonf,100,1000,4.147910985199269,0.15371625043962672,0.7575757575757576,0.20848249939949792,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,0.8308,0.014905032707109439,,,,,,
strictness_continuum,clf,clf_nonlinear,r_cforest_mc,100,1000,6.078732054398278,0.4647587384534081,0.9212121212121211,0.047977139745607765,0.45999999999999996,0.04898979485566354,0.9199999999999999,0.09797958971132709,0.6133333333333333,0.06531972647421806,0.8291999999999999,0.011617228585166095,,,,,,
strictness_continuum,clf,clf_toeplitz,r_ctree_bonf,100,1000,0.403081820596708,0.048832197714336896,0.10303030303030303,0.014845392380504113,0.9400000000000001,0.04898979485566354,0.9400000000000001,0.04898979485566354,0.9400000000000001,0.04898979485566354,0.9615535904222678,0.016731228234147973,,,,,,
strictness_continuum,clf,clf_toeplitz,r_ctree_mc,100,1000,1.6114768683968577,0.15727707953300601,0.3939393939393939,0.30309763561707564,0.5799999999999998,0.17204650534085256,0.5799999999999998,0.17204650534085256,0.58,0.17204650534085256,0.9129742799051371,0.025041327428788663,,,,,,
strictness_continuum,clf,clf_toeplitz,r_cforest_bonf,100,1000,3.863481806201162,0.2994489377261029,0.6909090909090908,0.21959884026991827,0.6200000000000001,0.132664991614216,0.6200000000000001,0.132664991614216,0.6200000000000001,0.13266499161421602,0.9466190359918991,0.027757539810437257,,,,,,
strictness_continuum,clf,clf_toeplitz,r_cforest_mc,100,1000,5.264973468601238,1.084798294833507,0.81010101010101,0.1433347214146809,0.6,0.06324555320336757,0.6,0.06324555320336757,0.6,0.06324555320336757,0.9423917503367599,0.0322293350469085,,,,,,
strictness_continuum,clf,clf_confounder,r_ctree_bonf,70,1000,0.4504115697956877,0.04589428056564991,0.8579710144927535,0.06310591610747028,0.13999999999999999,0.07999999999999999,0.13999999999999999,0.07999999999999999,0.14,0.07999999999999999,0.8598494049404939,0.02955231585054939,0.2,0.1264911064067352,0.39999999999999997,0.17888543819998315,,
strictness_continuum,clf,clf_confounder,r_ctree_mc,70,1000,1.2060469985968667,0.09399364085719887,0.8492753623188406,0.08578926717071736,0.13999999999999999,0.07999999999999999,0.13999999999999999,0.07999999999999999,0.14,0.07999999999999999,0.8610509850985097,0.018370469369720314,0.28,0.20396078054371136,0.42000000000000004,0.116619037896906,,
strictness_continuum,clf,clf_confounder,r_cforest_bonf,70,1000,4.65647090600396,0.4954124970029953,0.6811594202898551,0.08647208052276115,0.18000000000000002,0.09797958971132713,0.18000000000000002,0.09797958971132713,0.18000000000000002,0.09797958971132713,0.853394899489949,0.0496412390032101,0.08,0.16,0.2,0.20976176963403032,,
strictness_continuum,clf,clf_confounder,r_cforest_mc,70,1000,6.534248667195788,1.6983030180639909,0.8173913043478261,0.1047496289831458,0.16,0.10198039027185571,0.16,0.10198039027185571,0.16,0.10198039027185571,0.867815901590159,0.045733291427353134,0.08,0.16,0.27999999999999997,0.132664991614216,,
strictness_continuum,clf,clf_bias,r_ctree_bonf,100,1000,0.5397140569984913,0.04782773780145567,0.8585858585858587,0.04907053657168128,0.31999999999999995,0.132664991614216,0.31999999999999995,0.132664991614216,0.32,0.132664991614216,0.6939805180518052,0.10906482488863142,,,,,,
strictness_continuum,clf,clf_bias,r_ctree_mc,100,1000,2.0213281221978834,0.3482727793760969,0.6909090909090909,0.11131294799156294,0.12000000000000002,0.1469693845669907,0.12000000000000002,0.1469693845669907,0.12000000000000002,0.1469693845669907,0.6743824582458245,0.08533436763301125,,,,,,
strictness_continuum,clf,clf_bias,r_cforest_bonf,100,1000,5.2888970460015114,0.8999905245596237,0.7757575757575756,0.0471188031906691,0.08,0.116619037896906,0.08,0.116619037896906,0.08,0.116619037896906,0.7926945894589459,0.0932819331570541,,,,,,
strictness_continuum,clf,clf_bias,r_cforest_mc,100,1000,7.906428501798655,0.685948961501943,0.7797979797979797,0.04882038777209926,0.06,0.12000000000000001,0.06,0.12000000000000001,0.06,0.12000000000000001,0.8449955395539555,0.08757553896243268,,,,,,
strictness_continuum,clf,clf_redundant,r_ctree_bonf,100,1000,0.8048237440001685,0.19706888539628617,0.26464646464646463,0.17122925333670375,0.48,0.07483314773547882,0.48,0.07483314773547882,0.4800000000000001,0.07483314773547879,0.8081654708957247,0.0526972185905242,,,,,,
strictness_continuum,clf,clf_redundant,r_ctree_mc,100,1000,2.8374347336008214,1.0029939705474789,0.29494949494949496,0.15705690283294393,0.41999999999999993,0.09797958971132713,0.41999999999999993,0.09797958971132713,0.42000000000000004,0.0979795897113271,0.8205363848431352,0.07119477521658511,,,,,,
strictness_continuum,clf,clf_redundant,r_cforest_bonf,100,1000,5.742930663397419,0.7383918883663648,0.1797979797979798,0.009896928253669399,0.52,0.039999999999999994,0.52,0.039999999999999994,0.52,0.039999999999999994,0.906953552968349,0.012447468687980672,,,,,,
strictness_continuum,clf,clf_redundant,r_cforest_mc,100,1000,8.852102627401473,1.9382819067288952,0.18181818181818182,0.01106510217182153,0.52,0.039999999999999994,0.52,0.039999999999999994,0.52,0.039999999999999994,0.9005732349365457,0.012839863250541931,,,,,,
strictness_continuum,reg,reg_friedman,r_ctree_bonf,100,1000,0.8885526965983445,0.04651787470126345,0.2525252525252525,0.24276070926545132,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,,,,,,,0.7131657399300295,0.008883980404802403
strictness_continuum,reg,reg_friedman,r_ctree_mc,100,1000,2.641050142599852,0.048436980930651186,0.7454545454545455,0.10249414863810764,0.3,0.0,0.6,0.0,0.4,0.0,,,,,,,0.21754485396589934,0.02281656598646709
strictness_continuum,reg,reg_friedman,r_cforest_bonf,100,1000,8.049983334599528,1.884298745210811,0.8646464646464646,0.09002941396023108,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,,,,,,,0.7130800781161633,0.008111427834166646
strictness_continuum,reg,reg_friedman,r_cforest_mc,100,1000,10.469648063002387,2.8918358019139805,0.8505050505050505,0.13004829850045319,0.48,0.039999999999999994,0.96,0.07999999999999999,0.6399999999999999,0.05333333333333332,,,,,,,0.7142574730696356,0.008019892770034814
strictness_continuum,reg,reg_linear,r_ctree_bonf,100,1000,1.7973473803984235,0.4715416270313139,0.9050505050505052,0.04763566110121858,0.38,0.07483314773547883,0.38,0.07483314773547883,0.38,0.07483314773547885,,,,,,,0.04423465361292667,0.1313606779082078
strictness_continuum,reg,reg_linear,r_ctree_mc,100,1000,2.702443898198544,0.0798007718682656,0.8747474747474747,0.03864874034284647,0.2,0.1414213562373095,0.2,0.1414213562373095,0.2,0.14142135623730953,,,,,,,0.12417208879719197,0.17669402987540583
strictness_continuum,reg,reg_linear,r_cforest_bonf,100,1000,7.196799059200567,2.082071600789072,0.8565656565656565,0.09244493889816205,0.15999999999999998,0.1019803902718557,0.15999999999999998,0.1019803902718557,0.16,0.10198039027185571,,,,,,,0.9790744821140812,0.006497870437443544
strictness_continuum,reg,reg_linear,r_cforest_mc,100,1000,10.829217306204374,3.192012308774064,0.8929292929292929,0.04169649987989958,0.13999999999999999,0.048989794855663564,0.13999999999999999,0.048989794855663564,0.14,0.04898979485566357,,,,,,,0.9877903841996366,0.0053587691940297656
strictness_continuum,reg,reg_toeplitz,r_ctree_bonf,100,1000,1.7764119208033662,0.4237335995824263,0.2585858585858586,0.22753968608575892,0.8399999999999999,0.10198039027185571,0.8399999999999999,0.10198039027185571,0.8400000000000001,0.10198039027185568,,,,,,,0.948238787194315,0.01876693335430312
strictness_continuum,reg,reg_toeplitz,r_ctree_mc,100,1000,5.189248400198994,0.8161453469140016,0.5818181818181818,0.34982759903417526,0.6,0.08944271909999157,0.6,0.08944271909999157,0.6,0.08944271909999157,,,,,,,0.9076537368176529,0.0327734629663799
strictness_continuum,reg,reg_toeplitz,r_cforest_bonf,100,1000,6.7446350587997586,1.5982629897978333,0.6323232323232324,0.28011687330092583,0.74,0.10198039027185572,0.74,0.10198039027185572,0.74,0.10198039027185574,,,,,,,0.9594475519070798,0.012894345108256688
strictness_continuum,reg,reg_toeplitz,r_cforest_mc,100,1000,11.560751180598164,2.175791652634062,0.6686868686868687,0.16676152794738539,0.72,0.09797958971132714,0.72,0.09797958971132714,0.72,0.09797958971132714,,,,,,,0.9607582937232328,0.0067514443968413555
strictness_continuum,reg,reg_weak_signal,r_ctree_bonf,100,1000,1.850804923803662,0.17355247383377972,0.8787878787878789,0.09235660162151484,0.45999999999999996,0.10198039027185568,0.45999999999999996,0.10198039027185568,0.45999999999999996,0.10198039027185568,,,,,,,0.0402684348121705,0.12359391952640299
strictness_continuum,reg,reg_weak_signal,r_ctree_mc,100,1000,4.291847746400163,1.3709245389805569,0.8969696969696969,0.05166348223250272,0.15999999999999998,0.08,0.15999999999999998,0.08,0.16,0.07999999999999999,,,,,,,0.048950181212823116,0.10619928354743471
strictness_continuum,reg,reg_weak_signal,r_cforest_bonf,100,1000,6.90320891860174,1.5428388335870509,0.8424242424242424,0.046771058193091845,0.13999999999999999,0.08,0.13999999999999999,0.08,0.14000000000000004,0.08000000000000002,,,,,,,0.906361540632286,0.008755093716894102
strictness_continuum,reg,reg_weak_signal,r_cforest_mc,100,1000,12.867535951198079,2.7489330376866765,0.8727272727272727,0.05875975584747067,0.12000000000000002,0.07483314773547883,0.12000000000000002,0.07483314773547883,0.12000000000000002,0.07483314773547885,,,,,,,0.9016672868309602,0.015298224549280513
