task,method_base,method_id,n_rankings,n_datasets,mean_informative_share_over_standard_k,mean_signal_or_redundant_share_over_standard_k,mean_pure_noise_share_over_standard_k,mean_correlated_noise_share_over_standard_k,mean_missing_share_over_standard_k,mean_dataset_size_cap_share_over_standard_k,informative_share_k5,signal_or_redundant_share_k5,pure_noise_share_k5,correlated_noise_share_k5,informative_share_k100,signal_or_redundant_share_k100,pure_noise_share_k100,correlated_noise_share_k100,informative_share_delta_k100_minus_k5,signal_or_redundant_share_delta_k100_minus_k5,pure_noise_share_delta_k100_minus_k5,correlated_noise_share_delta_k100_minus_k5,mean_informative_share_rank,mean_pure_noise_share_rank
classification,xgb,xgb__1c62fadfc5e2988f,1000,8,0.38793,0.44927,0.50118,0.04955,0.0,0.0125,0.78,0.857,0.094,0.049,0.09805,0.14805,0.8273999999999999,0.024550000000000002,-0.6819500000000001,-0.70895,0.7333999999999999,-0.02445,2.0,5.0
regression,boruta,boruta__7f986516a1727870,1000,8,0.3971,0.4481,0.5048400000000001,0.047060000000000005,0.0,0.025,0.792,0.826,0.15600000000000003,0.018000000000000002,0.1124,0.1624,0.8134999999999999,0.0241,-0.6796,-0.6636,0.6574999999999999,0.006099999999999998,5.0,10.0
regression,cat,cat__024a0842d4337711,1000,8,0.40590000000000004,0.46564,0.49074,0.043620000000000006,0.0,0.025,0.8290000000000001,0.904,0.079,0.017,0.1125,0.1625,0.8126000000000001,0.024900000000000002,-0.7165,-0.7415,0.7336000000000001,0.0079,4.0,7.0
regression,cif,cif__f996d20e25e412cc,1000,8,0.39014,0.4535,0.49329,0.05321,0.0,0.025,0.764,0.8420000000000001,0.111,0.047,0.1121,0.16210000000000002,0.81375,0.02415,-0.6519,-0.6799000000000001,0.70275,-0.02285,10.0,8.0
regression,cit,cit__2cd925b5323e9208,1000,8,0.31325,0.37625,0.5827100000000001,0.04104,0.0,0.025,0.639,0.741,0.25,0.009000000000000001,0.10755,0.15755,0.81745,0.025,-0.53145,-0.58345,0.56745,0.016,15.0,15.0
regression,cpi,cpi__6e89acc5e72da5a8,1000,8,0.35194,0.41437999999999997,0.55636,0.02926,0.0,0.025,0.7240000000000001,0.8170000000000001,0.166,0.017,0.1107,0.1607,0.8188,0.020500000000000004,-0.6133000000000001,-0.6563000000000001,0.6527999999999999,0.003500000000000003,12.0,14.0
regression,et,et__f09eb85fc7f75870,1000,8,0.41088,0.47226,0.47942,0.04832,0.0,0.025,0.835,0.91,0.063,0.027000000000000003,0.11220000000000001,0.16219999999999998,0.8136,0.0242,-0.7228,-0.7478,0.7505999999999999,-0.002800000000000004,2.0,2.0
regression,lgbm,lgbm__71ba9ba402678146,1000,8,0.41187999999999997,0.47384000000000004,0.48747,0.038689999999999995,0.0,0.025,0.84,0.93,0.07,0.0,0.1125,0.1625,0.8127500000000001,0.02475,-0.7274999999999999,-0.7675000000000001,0.74275,0.02475,1.0,5.0
regression,pi,pi__6e89acc5e72da5a8,1000,8,0.37879,0.44161,0.5156799999999999,0.04271,0.0,0.025,0.779,0.865,0.11800000000000001,0.017,0.11205,0.16205000000000003,0.8140999999999999,0.023850000000000003,-0.66695,-0.70295,0.6960999999999999,0.006850000000000002,11.0,11.0
regression,ptest_dc,ptest_dc__307d6fc3284c28e2,1000,8,0.39574000000000004,0.46544,0.4792,0.05536,0.0,0.025,0.773,0.873,0.076,0.051000000000000004,0.1124,0.1624,0.8126000000000001,0.025,-0.6606000000000001,-0.7106,0.7366000000000001,-0.026000000000000002,6.0,1.0
regression,ptest_pc,ptest_pc__307d6fc3284c28e2,1000,8,0.39238999999999996,0.46220999999999995,0.48286,0.05493,0.0,0.025,0.765,0.865,0.085,0.05,0.11225000000000002,0.16225,0.8133,0.024450000000000003,-0.6527499999999999,-0.70275,0.7283000000000001,-0.02555,8.0,3.0
regression,ptest_rdc,ptest_rdc__307d6fc3284c28e2,1000,8,0.39169,0.46103000000000005,0.48386,0.05511,0.0,0.025,0.762,0.862,0.08800000000000001,0.05,0.11235,0.16235,0.8128,0.024850000000000004,-0.6496500000000001,-0.69965,0.7248,-0.02515,9.0,4.0
regression,r_cforest,r_cforest__37be32340835a93b,1000,8,0.3409,0.40888,0.5364,0.05472,0.0,0.025,0.638,0.7340000000000001,0.213,0.053,0.10690000000000001,0.15689999999999998,0.8188,0.024300000000000002,-0.5311,-0.5771000000000002,0.6058,-0.028699999999999996,14.0,12.0
regression,r_ctree,r_ctree__b6e09ceb0eb26367,1000,8,0.08754,0.12710000000000002,0.85297,0.01993,0.0,0.025,0.067,0.08,0.915,0.005,0.1066,0.1566,0.8303499999999999,0.013049999999999999,0.039599999999999996,0.07659999999999999,-0.08465000000000011,0.008049999999999998,16.0,16.0
regression,rf,rf__aed17443e3db937d,1000,8,0.40638,0.46488,0.48915000000000003,0.04597,0.0,0.025,0.8240000000000001,0.9059999999999999,0.071,0.023000000000000003,0.1121,0.16210000000000002,0.81395,0.02395,-0.7119000000000001,-0.7438999999999999,0.74295,0.000949999999999996,3.0,6.0
regression,rfe,rfe__99914b932bd37a50,1000,8,0.34094,0.39924,0.5517799999999999,0.04898,0.0,0.025,0.581,0.662,0.301,0.037000000000000005,0.1121,0.16210000000000002,0.8134999999999999,0.024399999999999998,-0.4689,-0.4999,0.5125,-0.012600000000000007,13.0,13.0
regression,xgb,xgb__1c62fadfc5e2988f,1000,8,0.39488999999999996,0.45697000000000004,0.50365,0.039380000000000005,0.0,0.025,0.7929999999999999,0.8859999999999999,0.106,0.008,0.11225000000000002,0.16225,0.8138500000000001,0.0239,-0.68075,-0.7237499999999999,0.7078500000000001,0.0159,7.0,9.0
