task,dataset_type,method_base,method_id,k,n_rankings,n_datasets,effective_k,returned_count,missing_count,dataset_size_cap_count,informative_count,redundant_count,signal_or_redundant_count,explicit_noise_count,background_null_count,pure_noise_count,correlated_noise_count,returned_share,missing_share,dataset_size_cap_share,informative_share,redundant_share,signal_or_redundant_share,explicit_noise_share,background_null_share,pure_noise_share,correlated_noise_share
classification,bias,r_cforest,r_cforest__37be32340835a93b,1,25,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,rf,rf__27caa3a0a3b84fd9,1,25,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,rfe,rfe__99914b932bd37a50,1,25,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,xgb,xgb__1c62fadfc5e2988f,1,25,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,r_ctree,r_ctree__b6e09ceb0eb26367,1,25,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
classification,bias,cat,cat__024a0842d4337711,2,25,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,cif,cif__4ee6725d43ec8e5a,2,25,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,cit,cit__bc8d0ddbb26c15b5,2,25,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,cpi,cpi__6e89acc5e72da5a8,2,25,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,et,et__f5580a1865f967c8,2,25,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,lgbm,lgbm__71ba9ba402678146,2,25,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,pi,pi__6e89acc5e72da5a8,2,25,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,ptest_mc,ptest_mc__307d6fc3284c28e2,2,25,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,ptest_rdc,ptest_rdc__307d6fc3284c28e2,2,25,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,r_cforest,r_cforest__37be32340835a93b,2,25,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,rf,rf__27caa3a0a3b84fd9,2,25,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,rfe,rfe__99914b932bd37a50,2,25,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,xgb,xgb__1c62fadfc5e2988f,2,25,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,boruta,boruta__7f986516a1727870,2,25,1,2.0,2.0,0.0,0.0,1.84,0.0,1.84,0.0,0.16,0.16,0.0,1.0,0.0,0.0,0.92,0.0,0.92,0.0,0.08,0.08,0.0
classification,bias,r_ctree,r_ctree__b6e09ceb0eb26367,2,25,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
classification,bias,cat,cat__024a0842d4337711,5,25,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,cif,cif__4ee6725d43ec8e5a,5,25,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,cit,cit__bc8d0ddbb26c15b5,5,25,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,et,et__f5580a1865f967c8,5,25,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,lgbm,lgbm__71ba9ba402678146,5,25,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,pi,pi__6e89acc5e72da5a8,5,25,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,ptest_mc,ptest_mc__307d6fc3284c28e2,5,25,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,ptest_rdc,ptest_rdc__307d6fc3284c28e2,5,25,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,r_cforest,r_cforest__37be32340835a93b,5,25,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,rf,rf__27caa3a0a3b84fd9,5,25,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,rfe,rfe__99914b932bd37a50,5,25,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,xgb,xgb__1c62fadfc5e2988f,5,25,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
classification,bias,cpi,cpi__6e89acc5e72da5a8,5,25,1,5.0,5.0,0.0,0.0,4.92,0.0,4.92,0.04,0.04,0.08,0.0,1.0,0.0,0.0,0.9840000000000001,0.0,0.9840000000000001,0.008,0.008,0.016,0.0
classification,bias,boruta,boruta__7f986516a1727870,5,25,1,5.0,5.0,0.0,0.0,4.84,0.0,4.84,0.0,0.16,0.16,0.0,1.0,0.0,0.0,0.968,0.0,0.968,0.0,0.032,0.032,0.0
classification,bias,r_ctree,r_ctree__b6e09ceb0eb26367,5,25,1,5.0,5.0,0.0,0.0,0.04,0.0,0.04,0.04,4.92,4.96,0.0,1.0,0.0,0.0,0.008,0.0,0.008,0.008,0.9840000000000001,0.992,0.0
classification,bias,rfe,rfe__99914b932bd37a50,10,25,1,10.0,10.0,0.0,0.0,9.96,0.0,9.96,0.04,0.0,0.04,0.0,1.0,0.0,0.0,0.996,0.0,0.996,0.004,0.0,0.004,0.0
classification,bias,rf,rf__27caa3a0a3b84fd9,10,25,1,10.0,10.0,0.0,0.0,9.84,0.0,9.84,0.12,0.04,0.16,0.0,1.0,0.0,0.0,0.9840000000000001,0.0,0.9840000000000001,0.012000000000000002,0.004,0.016,0.0
classification,bias,boruta,boruta__7f986516a1727870,10,25,1,10.0,10.0,0.0,0.0,9.76,0.0,9.76,0.08,0.16,0.24,0.0,1.0,0.0,0.0,0.976,0.0,0.976,0.008,0.016,0.024000000000000004,0.0
classification,bias,et,et__f5580a1865f967c8,10,25,1,10.0,10.0,0.0,0.0,9.68,0.0,9.68,0.24,0.08,0.32,0.0,1.0,0.0,0.0,0.968,0.0,0.968,0.024000000000000004,0.008,0.032,0.0
classification,bias,cat,cat__024a0842d4337711,10,25,1,10.0,10.0,0.0,0.0,9.36,0.0,9.36,0.52,0.12,0.64,0.0,1.0,0.0,0.0,0.9359999999999999,0.0,0.9359999999999999,0.052000000000000005,0.012000000000000002,0.064,0.0
classification,bias,lgbm,lgbm__71ba9ba402678146,10,25,1,10.0,10.0,0.0,0.0,9.08,0.0,9.08,0.76,0.16,0.92,0.0,1.0,0.0,0.0,0.9079999999999999,0.0,0.9079999999999999,0.07600000000000001,0.016,0.09200000000000001,0.0
classification,bias,cif,cif__4ee6725d43ec8e5a,10,25,1,10.0,10.0,0.0,0.0,8.96,0.0,8.96,0.52,0.52,1.04,0.0,1.0,0.0,0.0,0.8960000000000001,0.0,0.8960000000000001,0.052000000000000005,0.052000000000000005,0.10400000000000001,0.0
classification,bias,xgb,xgb__1c62fadfc5e2988f,10,25,1,10.0,10.0,0.0,0.0,8.92,0.0,8.92,0.56,0.52,1.08,0.0,1.0,0.0,0.0,0.892,0.0,0.892,0.05600000000000001,0.052000000000000005,0.10800000000000001,0.0
classification,bias,r_cforest,r_cforest__37be32340835a93b,10,25,1,10.0,10.0,0.0,0.0,8.44,0.0,8.44,0.84,0.72,1.56,0.0,1.0,0.0,0.0,0.8440000000000001,0.0,0.8440000000000001,0.084,0.07200000000000001,0.15600000000000003,0.0
classification,bias,ptest_mc,ptest_mc__307d6fc3284c28e2,10,25,1,10.0,10.0,0.0,0.0,8.0,0.0,8.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.8,0.0,0.8,0.1,0.1,0.2,0.0
classification,bias,ptest_rdc,ptest_rdc__307d6fc3284c28e2,10,25,1,10.0,10.0,0.0,0.0,7.64,0.0,7.64,1.2,1.16,2.36,0.0,1.0,0.0,0.0,0.764,0.0,0.764,0.12,0.11600000000000002,0.23600000000000002,0.0
classification,bias,pi,pi__6e89acc5e72da5a8,10,25,1,10.0,10.0,0.0,0.0,7.44,0.0,7.44,1.68,0.88,2.56,0.0,1.0,0.0,0.0,0.7440000000000001,0.0,0.7440000000000001,0.168,0.08800000000000001,0.256,0.0
classification,bias,cpi,cpi__6e89acc5e72da5a8,10,25,1,10.0,10.0,0.0,0.0,7.32,0.0,7.32,1.8,0.88,2.68,0.0,1.0,0.0,0.0,0.732,0.0,0.732,0.18,0.08800000000000001,0.268,0.0
classification,bias,cit,cit__bc8d0ddbb26c15b5,10,25,1,10.0,10.0,0.0,0.0,6.64,0.0,6.64,3.36,0.0,3.36,0.0,1.0,0.0,0.0,0.6639999999999999,0.0,0.6639999999999999,0.336,0.0,0.336,0.0
classification,bias,r_ctree,r_ctree__b6e09ceb0eb26367,10,25,1,10.0,10.0,0.0,0.0,0.48,0.0,0.48,0.16,9.36,9.52,0.0,1.0,0.0,0.0,0.04800000000000001,0.0,0.04800000000000001,0.016,0.936,0.9520000000000001,0.0
classification,bias,boruta,boruta__7f986516a1727870,20,25,1,20.0,20.0,0.0,0.0,10.0,0.0,10.0,5.32,4.68,10.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.266,0.23399999999999999,0.5,0.0
classification,bias,et,et__f5580a1865f967c8,20,25,1,20.0,20.0,0.0,0.0,10.0,0.0,10.0,7.24,2.76,10.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.36200000000000004,0.138,0.5,0.0
classification,bias,rf,rf__27caa3a0a3b84fd9,20,25,1,20.0,20.0,0.0,0.0,10.0,0.0,10.0,5.44,4.56,10.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.272,0.228,0.5,0.0
classification,bias,rfe,rfe__99914b932bd37a50,20,25,1,20.0,20.0,0.0,0.0,10.0,0.0,10.0,5.56,4.44,10.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.278,0.222,0.5,0.0
classification,bias,cat,cat__024a0842d4337711,20,25,1,20.0,20.0,0.0,0.0,9.92,0.0,9.92,5.68,4.4,10.08,0.0,1.0,0.0,0.0,0.496,0.0,0.496,0.284,0.22,0.504,0.0
classification,bias,cif,cif__4ee6725d43ec8e5a,20,25,1,20.0,20.0,0.0,0.0,9.76,0.0,9.76,6.2,4.04,10.24,0.0,1.0,0.0,0.0,0.488,0.0,0.488,0.31,0.20199999999999999,0.512,0.0
classification,bias,lgbm,lgbm__71ba9ba402678146,20,25,1,20.0,20.0,0.0,0.0,9.76,0.0,9.76,6.12,4.12,10.24,0.0,1.0,0.0,0.0,0.488,0.0,0.488,0.306,0.20600000000000002,0.512,0.0
classification,bias,xgb,xgb__1c62fadfc5e2988f,20,25,1,20.0,20.0,0.0,0.0,9.56,0.0,9.56,6.16,4.28,10.44,0.0,1.0,0.0,0.0,0.478,0.0,0.478,0.308,0.214,0.522,0.0
classification,bias,r_cforest,r_cforest__37be32340835a93b,20,25,1,20.0,20.0,0.0,0.0,9.44,0.0,9.44,5.92,4.64,10.56,0.0,1.0,0.0,0.0,0.47200000000000003,0.0,0.47200000000000003,0.296,0.23199999999999998,0.528,0.0
classification,bias,pi,pi__6e89acc5e72da5a8,20,25,1,20.0,20.0,0.0,0.0,8.32,0.0,8.32,7.0,4.68,11.68,0.0,1.0,0.0,0.0,0.41600000000000004,0.0,0.41600000000000004,0.35,0.23399999999999999,0.584,0.0
classification,bias,ptest_rdc,ptest_rdc__307d6fc3284c28e2,20,25,1,20.0,20.0,0.0,0.0,8.32,0.0,8.32,6.96,4.72,11.68,0.0,1.0,0.0,0.0,0.41600000000000004,0.0,0.41600000000000004,0.348,0.23600000000000002,0.584,0.0
classification,bias,cpi,cpi__6e89acc5e72da5a8,20,25,1,20.0,20.0,0.0,0.0,8.28,0.0,8.28,7.28,4.44,11.72,0.0,1.0,0.0,0.0,0.414,0.0,0.414,0.364,0.222,0.586,0.0
classification,bias,ptest_mc,ptest_mc__307d6fc3284c28e2,20,25,1,20.0,20.0,0.0,0.0,8.0,0.0,8.0,7.08,4.92,12.0,0.0,1.0,0.0,0.0,0.4,0.0,0.4,0.354,0.24600000000000002,0.6,0.0
classification,bias,cit,cit__bc8d0ddbb26c15b5,20,25,1,20.0,20.0,0.0,0.0,6.64,0.0,6.64,13.36,0.0,13.36,0.0,1.0,0.0,0.0,0.33199999999999996,0.0,0.33199999999999996,0.6679999999999999,0.0,0.6679999999999999,0.0
classification,bias,r_ctree,r_ctree__b6e09ceb0eb26367,20,25,1,20.0,20.0,0.0,0.0,1.2,0.0,1.2,4.92,13.88,18.8,0.0,1.0,0.0,0.0,0.06,0.0,0.06,0.24600000000000002,0.6940000000000001,0.94,0.0
classification,bias,boruta,boruta__7f986516a1727870,25,25,1,25.0,25.0,0.0,0.0,10.0,0.0,10.0,7.68,7.32,15.0,0.0,1.0,0.0,0.0,0.4,0.0,0.4,0.30720000000000003,0.2928,0.6,0.0
classification,bias,et,et__f5580a1865f967c8,25,25,1,25.0,25.0,0.0,0.0,10.0,0.0,10.0,10.52,4.48,15.0,0.0,1.0,0.0,0.0,0.4,0.0,0.4,0.4208,0.17920000000000003,0.6,0.0
classification,bias,rf,rf__27caa3a0a3b84fd9,25,25,1,25.0,25.0,0.0,0.0,10.0,0.0,10.0,8.04,6.96,15.0,0.0,1.0,0.0,0.0,0.4,0.0,0.4,0.32160000000000005,0.2784,0.6,0.0
classification,bias,rfe,rfe__99914b932bd37a50,25,25,1,25.0,25.0,0.0,0.0,10.0,0.0,10.0,7.4,7.6,15.0,0.0,1.0,0.0,0.0,0.4,0.0,0.4,0.29600000000000004,0.304,0.6,0.0
classification,bias,cat,cat__024a0842d4337711,25,25,1,25.0,25.0,0.0,0.0,9.96,0.0,9.96,8.68,6.36,15.04,0.0,1.0,0.0,0.0,0.39840000000000003,0.0,0.39840000000000003,0.3472,0.2544,0.6015999999999999,0.0
classification,bias,cif,cif__4ee6725d43ec8e5a,25,25,1,25.0,25.0,0.0,0.0,9.84,0.0,9.84,8.8,6.36,15.16,0.0,1.0,0.0,0.0,0.3936,0.0,0.3936,0.35200000000000004,0.2544,0.6064,0.0
classification,bias,xgb,xgb__1c62fadfc5e2988f,25,25,1,25.0,25.0,0.0,0.0,9.84,0.0,9.84,8.52,6.64,15.16,0.0,1.0,0.0,0.0,0.3936,0.0,0.3936,0.3408,0.2656,0.6064,0.0
classification,bias,lgbm,lgbm__71ba9ba402678146,25,25,1,25.0,25.0,0.0,0.0,9.8,0.0,9.8,8.8,6.4,15.2,0.0,1.0,0.0,0.0,0.392,0.0,0.392,0.35200000000000004,0.256,0.608,0.0
classification,bias,r_cforest,r_cforest__37be32340835a93b,25,25,1,25.0,25.0,0.0,0.0,9.56,0.0,9.56,8.64,6.8,15.44,0.0,1.0,0.0,0.0,0.3824,0.0,0.3824,0.3456,0.272,0.6175999999999999,0.0
classification,bias,ptest_rdc,ptest_rdc__307d6fc3284c28e2,25,25,1,25.0,25.0,0.0,0.0,8.52,0.0,8.52,9.52,6.96,16.48,0.0,1.0,0.0,0.0,0.3408,0.0,0.3408,0.38079999999999997,0.2784,0.6592,0.0
classification,bias,pi,pi__6e89acc5e72da5a8,25,25,1,25.0,25.0,0.0,0.0,8.4,0.0,8.4,9.76,6.84,16.6,0.0,1.0,0.0,0.0,0.336,0.0,0.336,0.39039999999999997,0.2736,0.664,0.0
classification,bias,cpi,cpi__6e89acc5e72da5a8,25,25,1,25.0,25.0,0.0,0.0,8.36,0.0,8.36,10.4,6.24,16.64,0.0,1.0,0.0,0.0,0.3344,0.0,0.3344,0.41600000000000004,0.24960000000000002,0.6656,0.0
classification,bias,ptest_mc,ptest_mc__307d6fc3284c28e2,25,25,1,25.0,25.0,0.0,0.0,8.0,0.0,8.0,9.88,7.12,17.0,0.0,1.0,0.0,0.0,0.32,0.0,0.32,0.39520000000000005,0.2848,0.68,0.0
classification,bias,cit,cit__bc8d0ddbb26c15b5,25,25,1,25.0,25.0,0.0,0.0,6.64,0.0,6.64,18.36,0.0,18.36,0.0,1.0,0.0,0.0,0.2656,0.0,0.2656,0.7343999999999999,0.0,0.7343999999999999,0.0
classification,bias,r_ctree,r_ctree__b6e09ceb0eb26367,25,25,1,25.0,25.0,0.0,0.0,1.48,0.0,1.48,5.04,18.48,23.52,0.0,1.0,0.0,0.0,0.0592,0.0,0.0592,0.2016,0.7392,0.9408,0.0
classification,bias,boruta,boruta__7f986516a1727870,50,25,1,50.0,50.0,0.0,0.0,10.0,0.0,10.0,21.2,18.8,40.0,0.0,1.0,0.0,0.0,0.2,0.0,0.2,0.424,0.376,0.8,0.0
classification,bias,cat,cat__024a0842d4337711,50,25,1,50.0,50.0,0.0,0.0,10.0,0.0,10.0,22.4,17.6,40.0,0.0,1.0,0.0,0.0,0.2,0.0,0.2,0.44799999999999995,0.35200000000000004,0.8,0.0
classification,bias,et,et__f5580a1865f967c8,50,25,1,50.0,50.0,0.0,0.0,10.0,0.0,10.0,24.88,15.12,40.0,0.0,1.0,0.0,0.0,0.2,0.0,0.2,0.4976,0.3024,0.8,0.0
classification,bias,rf,rf__27caa3a0a3b84fd9,50,25,1,50.0,50.0,0.0,0.0,10.0,0.0,10.0,21.84,18.16,40.0,0.0,1.0,0.0,0.0,0.2,0.0,0.2,0.4368,0.3632,0.8,0.0
classification,bias,rfe,rfe__99914b932bd37a50,50,25,1,50.0,50.0,0.0,0.0,10.0,0.0,10.0,21.24,18.76,40.0,0.0,1.0,0.0,0.0,0.2,0.0,0.2,0.42480000000000007,0.37520000000000003,0.8,0.0
classification,bias,lgbm,lgbm__71ba9ba402678146,50,25,1,50.0,50.0,0.0,0.0,9.96,0.0,9.96,22.24,17.8,40.04,0.0,1.0,0.0,0.0,0.19920000000000002,0.0,0.19920000000000002,0.44480000000000003,0.35600000000000004,0.8008,0.0
classification,bias,r_cforest,r_cforest__37be32340835a93b,50,25,1,50.0,50.0,0.0,0.0,9.96,0.0,9.96,22.24,17.8,40.04,0.0,1.0,0.0,0.0,0.19920000000000002,0.0,0.19920000000000002,0.44480000000000003,0.35600000000000004,0.8008,0.0
classification,bias,cif,cif__4ee6725d43ec8e5a,50,25,1,50.0,50.0,0.0,0.0,9.92,0.0,9.92,29.52,10.56,40.08,0.0,1.0,0.0,0.0,0.1984,0.0,0.1984,0.5904,0.2112,0.8016,0.0
classification,bias,xgb,xgb__1c62fadfc5e2988f,50,25,1,50.0,50.0,0.0,0.0,9.92,0.0,9.92,22.08,18.0,40.08,0.0,1.0,0.0,0.0,0.1984,0.0,0.1984,0.4416,0.36,0.8016,0.0
classification,bias,ptest_rdc,ptest_rdc__307d6fc3284c28e2,50,25,1,50.0,50.0,0.0,0.0,9.0,0.0,9.0,22.68,18.32,41.0,0.0,1.0,0.0,0.0,0.18,0.0,0.18,0.4536,0.3664,0.82,0.0
classification,bias,pi,pi__6e89acc5e72da5a8,50,25,1,50.0,50.0,0.0,0.0,8.92,0.0,8.92,22.92,18.16,41.08,0.0,1.0,0.0,0.0,0.1784,0.0,0.1784,0.45840000000000003,0.3632,0.8216,0.0
classification,bias,cpi,cpi__6e89acc5e72da5a8,50,25,1,50.0,50.0,0.0,0.0,8.88,0.0,8.88,23.28,17.84,41.12,0.0,1.0,0.0,0.0,0.1776,0.0,0.1776,0.4656,0.3568,0.8223999999999999,0.0
classification,bias,ptest_mc,ptest_mc__307d6fc3284c28e2,50,25,1,50.0,50.0,0.0,0.0,8.36,0.0,8.36,23.64,18.0,41.64,0.0,1.0,0.0,0.0,0.1672,0.0,0.1672,0.4728,0.36,0.8328,0.0
classification,bias,r_ctree,r_ctree__b6e09ceb0eb26367,50,25,1,50.0,50.0,0.0,0.0,7.88,0.0,7.88,5.04,37.08,42.12,0.0,1.0,0.0,0.0,0.1576,0.0,0.1576,0.1008,0.7415999999999999,0.8423999999999999,0.0
classification,bias,cit,cit__bc8d0ddbb26c15b5,50,25,1,50.0,50.0,0.0,0.0,6.64,0.0,6.64,43.36,0.0,43.36,0.0,1.0,0.0,0.0,0.1328,0.0,0.1328,0.8672,0.0,0.8672,0.0
classification,bias,boruta,boruta__7f986516a1727870,100,25,1,100.0,100.0,0.0,0.0,10.0,0.0,10.0,50.0,40.0,90.0,0.0,1.0,0.0,0.0,0.1,0.0,0.1,0.5,0.4,0.9,0.0
classification,bias,cat,cat__024a0842d4337711,100,25,1,100.0,100.0,0.0,0.0,10.0,0.0,10.0,50.0,40.0,90.0,0.0,1.0,0.0,0.0,0.1,0.0,0.1,0.5,0.4,0.9,0.0
classification,bias,cif,cif__4ee6725d43ec8e5a,100,25,1,100.0,100.0,0.0,0.0,10.0,0.0,10.0,50.0,40.0,90.0,0.0,1.0,0.0,0.0,0.1,0.0,0.1,0.5,0.4,0.9,0.0
classification,bias,cit,cit__bc8d0ddbb26c15b5,100,25,1,100.0,100.0,0.0,0.0,10.0,0.0,10.0,50.0,40.0,90.0,0.0,1.0,0.0,0.0,0.1,0.0,0.1,0.5,0.4,0.9,0.0
classification,bias,cpi,cpi__6e89acc5e72da5a8,100,25,1,100.0,100.0,0.0,0.0,10.0,0.0,10.0,50.0,40.0,90.0,0.0,1.0,0.0,0.0,0.1,0.0,0.1,0.5,0.4,0.9,0.0
classification,bias,et,et__f5580a1865f967c8,100,25,1,100.0,100.0,0.0,0.0,10.0,0.0,10.0,50.0,40.0,90.0,0.0,1.0,0.0,0.0,0.1,0.0,0.1,0.5,0.4,0.9,0.0
classification,bias,lgbm,lgbm__71ba9ba402678146,100,25,1,100.0,100.0,0.0,0.0,10.0,0.0,10.0,50.0,40.0,90.0,0.0,1.0,0.0,0.0,0.1,0.0,0.1,0.5,0.4,0.9,0.0
