task,dataset_type,method_base,method_id,n_rankings,n_datasets,mean_informative_share_over_standard_k,mean_signal_or_redundant_share_over_standard_k,mean_pure_noise_share_over_standard_k,mean_correlated_noise_share_over_standard_k,mean_missing_share_over_standard_k,mean_dataset_size_cap_share_over_standard_k,informative_share_k5,signal_or_redundant_share_k5,pure_noise_share_k5,correlated_noise_share_k5,informative_share_k100,signal_or_redundant_share_k100,pure_noise_share_k100,correlated_noise_share_k100,informative_share_delta_k100_minus_k5,signal_or_redundant_share_delta_k100_minus_k5,pure_noise_share_delta_k100_minus_k5,correlated_noise_share_delta_k100_minus_k5,mean_informative_share_rank,mean_pure_noise_share_rank
classification,confounder,pi,pi__6e89acc5e72da5a8,125,1,0.23424,0.23424,0.34624,0.41952,0.0,0.0,0.376,0.376,0.016,0.608,0.08800000000000001,0.08800000000000001,0.7415999999999999,0.1704,-0.288,-0.288,0.7255999999999999,-0.4376,13.0,13.0
classification,confounder,ptest_mc,ptest_mc__307d6fc3284c28e2,125,1,0.28328000000000003,0.28328000000000003,0.25336000000000003,0.46336,0.0,0.0,0.44,0.44,0.0,0.56,0.09480000000000001,0.09480000000000001,0.7156,0.18960000000000002,-0.3452,-0.3452,0.7156,-0.37040000000000006,6.0,11.0
classification,confounder,ptest_rdc,ptest_rdc__307d6fc3284c28e2,125,1,0.27624,0.27624,0.25639999999999996,0.46736,0.0,0.0,0.44800000000000006,0.44800000000000006,0.0,0.552,0.09720000000000001,0.09720000000000001,0.7108,0.192,-0.35080000000000006,-0.35080000000000006,0.7108,-0.36000000000000004,10.0,12.0
classification,confounder,r_cforest,r_cforest__37be32340835a93b,125,1,0.28056,0.28056,0.23295999999999997,0.48648,0.0,0.0,0.4,0.4,0.0,0.6,0.09960000000000001,0.09960000000000001,0.7008,0.1996,-0.3004,-0.3004,0.7008,-0.4004,8.0,6.0
classification,confounder,r_ctree,r_ctree__b6e09ceb0eb26367,125,1,0.039920000000000004,0.039920000000000004,0.74464,0.21544,0.0,0.0,0.0,0.0,0.6559999999999999,0.344,0.09,0.09,0.8328,0.0772,0.09,0.09,0.17680000000000007,-0.2668,15.0,15.0
classification,confounder,rf,rf__27caa3a0a3b84fd9,125,1,0.2824,0.2824,0.22191999999999998,0.49568,0.0,0.0,0.41600000000000004,0.41600000000000004,0.0,0.584,0.1,0.1,0.7,0.2,-0.31600000000000006,-0.31600000000000006,0.7,-0.38399999999999995,7.0,3.0
classification,confounder,rfe,rfe__99914b932bd37a50,125,1,0.33424,0.33424,0.22799999999999998,0.43776,0.0,0.0,0.64,0.64,0.0,0.36,0.1,0.1,0.7,0.2,-0.54,-0.54,0.7,-0.15999999999999998,4.0,5.0
classification,confounder,xgb,xgb__1c62fadfc5e2988f,125,1,0.35624,0.35624,0.24736,0.3964,0.0,0.0,0.608,0.608,0.0,0.392,0.09960000000000001,0.09960000000000001,0.704,0.19640000000000002,-0.5084,-0.5084,0.704,-0.1956,2.0,9.0
classification,nonlinear,boruta,boruta__7f986516a1727870,125,1,0.3524,0.3524,0.6476000000000001,0.0,0.0,0.0,0.912,0.912,0.08800000000000001,0.0,0.05,0.05,0.95,0.0,-0.862,-0.862,0.862,0.0,7.0,7.0
classification,nonlinear,cat,cat__024a0842d4337711,125,1,0.37,0.37,0.63,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.05,0.05,0.95,0.0,-0.95,-0.95,0.95,0.0,3.0,3.0
classification,nonlinear,cif,cif__4ee6725d43ec8e5a,125,1,0.35719999999999996,0.35719999999999996,0.6427999999999999,0.0,0.0,0.0,0.9440000000000001,0.9440000000000001,0.05600000000000001,0.0,0.05,0.05,0.95,0.0,-0.894,-0.894,0.8939999999999999,0.0,6.0,6.0
classification,nonlinear,cit,cit__bc8d0ddbb26c15b5,125,1,0.27992,0.27992,0.72008,0.0,0.0,0.0,0.728,0.728,0.272,0.0,0.05,0.05,0.95,0.0,-0.6779999999999999,-0.6779999999999999,0.6779999999999999,0.0,14.0,14.0
classification,nonlinear,cpi,cpi__6e89acc5e72da5a8,125,1,0.32664,0.32664,0.67336,0.0,0.0,0.0,0.848,0.848,0.15200000000000002,0.0,0.05,0.05,0.95,0.0,-0.7979999999999999,-0.7979999999999999,0.7979999999999999,0.0,11.0,11.0
classification,nonlinear,et,et__f5580a1865f967c8,125,1,0.37,0.37,0.63,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.05,0.05,0.95,0.0,-0.95,-0.95,0.95,0.0,3.0,3.0
classification,nonlinear,lgbm,lgbm__71ba9ba402678146,125,1,0.37,0.37,0.63,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.05,0.05,0.95,0.0,-0.95,-0.95,0.95,0.0,3.0,3.0
classification,nonlinear,pi,pi__6e89acc5e72da5a8,125,1,0.32984,0.32984,0.67016,0.0,0.0,0.0,0.8640000000000001,0.8640000000000001,0.136,0.0,0.05,0.05,0.95,0.0,-0.8140000000000001,-0.8140000000000001,0.814,0.0,10.0,10.0
classification,nonlinear,ptest_mc,ptest_mc__307d6fc3284c28e2,125,1,0.31416000000000005,0.31416000000000005,0.68584,0.0,0.0,0.0,0.8,0.8,0.2,0.0,0.05,0.05,0.95,0.0,-0.75,-0.75,0.75,0.0,12.0,12.0
classification,nonlinear,ptest_rdc,ptest_rdc__307d6fc3284c28e2,125,1,0.3516,0.3516,0.6484,0.0,0.0,0.0,0.9279999999999999,0.9279999999999999,0.07200000000000001,0.0,0.05,0.05,0.95,0.0,-0.8779999999999999,-0.8779999999999999,0.8779999999999999,0.0,8.0,8.0
classification,nonlinear,r_cforest,r_cforest__37be32340835a93b,125,1,0.29688,0.29688,0.70312,0.0,0.0,0.0,0.7440000000000001,0.7440000000000001,0.256,0.0,0.05,0.05,0.95,0.0,-0.6940000000000001,-0.6940000000000001,0.694,0.0,13.0,13.0
classification,nonlinear,r_ctree,r_ctree__b6e09ceb0eb26367,125,1,0.02008,0.02008,0.97992,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.05,0.95,0.0,0.05,0.05,-0.050000000000000044,0.0,15.0,15.0
classification,nonlinear,rf,rf__27caa3a0a3b84fd9,125,1,0.37,0.37,0.63,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.05,0.05,0.95,0.0,-0.95,-0.95,0.95,0.0,3.0,3.0
classification,nonlinear,rfe,rfe__99914b932bd37a50,125,1,0.33,0.33,0.67,0.0,0.0,0.0,0.8,0.8,0.2,0.0,0.05,0.05,0.95,0.0,-0.75,-0.75,0.75,0.0,9.0,9.0
classification,nonlinear,xgb,xgb__1c62fadfc5e2988f,125,1,0.37,0.37,0.63,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.05,0.05,0.95,0.0,-0.95,-0.95,0.95,0.0,3.0,3.0
classification,redundant,boruta,boruta__7f986516a1727870,125,1,0.25136000000000003,0.83968,0.16032000000000002,0.0,0.0,0.1,0.2,1.0,0.0,0.0,0.2,0.6,0.4,0.0,0.0,-0.4,0.4,0.0,13.0,1.0
classification,redundant,cat,cat__024a0842d4337711,125,1,0.31664,0.79296,0.20704000000000003,0.0,0.0,0.1,0.4,1.0,0.0,0.0,0.2,0.6,0.4,0.0,-0.2,-0.4,0.4,0.0,2.0,11.0
classification,redundant,cif,cif__4ee6725d43ec8e5a,125,1,0.31376,0.82848,0.17152,0.0,0.0,0.1,0.344,1.0,0.0,0.0,0.2,0.6,0.4,0.0,-0.14399999999999996,-0.4,0.4,0.0,4.0,5.0
classification,redundant,cit,cit__bc8d0ddbb26c15b5,125,1,0.26176,0.7689600000000001,0.23104000000000002,0.0,0.0,0.1,0.23200000000000004,1.0,0.0,0.0,0.2,0.6,0.4,0.0,-0.03200000000000003,-0.4,0.4,0.0,12.0,13.0
classification,redundant,cpi,cpi__6e89acc5e72da5a8,125,1,0.23856,0.70992,0.29008000000000006,0.0,0.0,0.1,0.29600000000000004,0.92,0.08,0.0,0.2,0.6,0.4,0.0,-0.09600000000000003,-0.32000000000000006,0.32,0.0,14.0,14.0
classification,redundant,et,et__f5580a1865f967c8,125,1,0.29168,0.8352,0.1648,0.0,0.0,0.1,0.20800000000000002,1.0,0.0,0.0,0.2,0.6,0.4,0.0,-0.008000000000000007,-0.4,0.4,0.0,9.0,4.0
classification,redundant,lgbm,lgbm__71ba9ba402678146,125,1,0.31504000000000004,0.80608,0.19392,0.0,0.0,0.1,0.376,1.0,0.0,0.0,0.2,0.6,0.4,0.0,-0.176,-0.4,0.4,0.0,3.0,9.0
classification,redundant,pi,pi__6e89acc5e72da5a8,125,1,0.29264,0.77328,0.22672,0.0,0.0,0.1,0.392,0.992,0.008,0.0,0.2,0.6,0.4,0.0,-0.192,-0.392,0.392,0.0,8.0,12.0
classification,redundant,ptest_mc,ptest_mc__307d6fc3284c28e2,125,1,0.27936,0.8272,0.1728,0.0,0.0,0.1,0.2,1.0,0.0,0.0,0.2,0.6,0.4,0.0,0.0,-0.4,0.4,0.0,10.0,6.0
classification,redundant,ptest_rdc,ptest_rdc__307d6fc3284c28e2,125,1,0.27408,0.82016,0.17984,0.0,0.0,0.1,0.20800000000000002,1.0,0.0,0.0,0.2,0.6,0.4,0.0,-0.008000000000000007,-0.4,0.4,0.0,11.0,8.0
classification,redundant,r_cforest,r_cforest__37be32340835a93b,125,1,0.312,0.82336,0.17664000000000002,0.0,0.0,0.1,0.344,1.0,0.0,0.0,0.2,0.6,0.4,0.0,-0.14399999999999996,-0.4,0.4,0.0,6.0,7.0
classification,redundant,r_ctree,r_ctree__b6e09ceb0eb26367,125,1,0.12208,0.57408,0.42592,0.0,0.0,0.1,0.0,0.584,0.41600000000000004,0.0,0.2,0.6,0.4,0.0,0.2,0.016000000000000014,-0.016000000000000014,0.0,15.0,15.0
classification,redundant,rf,rf__27caa3a0a3b84fd9,125,1,0.30512,0.83648,0.16352,0.0,0.0,0.1,0.272,1.0,0.0,0.0,0.2,0.6,0.4,0.0,-0.07200000000000001,-0.4,0.4,0.0,7.0,2.5
classification,redundant,rfe,rfe__99914b932bd37a50,125,1,0.33008,0.83648,0.16352,0.0,0.0,0.1,0.4,1.0,0.0,0.0,0.2,0.6,0.4,0.0,-0.2,-0.4,0.4,0.0,1.0,2.5
classification,redundant,xgb,xgb__1c62fadfc5e2988f,125,1,0.3128,0.80352,0.19648000000000002,0.0,0.0,0.1,0.38400000000000006,1.0,0.0,0.0,0.2,0.6,0.4,0.0,-0.18400000000000005,-0.4,0.4,0.0,5.0,10.0
classification,standard_easy,boruta,boruta__7f986516a1727870,125,1,0.54,0.54,0.46,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,2.0,2.0
classification,standard_easy,cat,cat__024a0842d4337711,125,1,0.49936,0.49936,0.50064,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,8.0,8.0
classification,standard_easy,cif,cif__4ee6725d43ec8e5a,125,1,0.5096,0.5096,0.4904,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,6.0,6.0
classification,standard_easy,cit,cit__bc8d0ddbb26c15b5,125,1,0.42031999999999997,0.42031999999999997,0.5796800000000001,0.0,0.0,0.0,0.992,0.992,0.008,0.0,0.1,0.1,0.9,0.0,-0.892,-0.892,0.892,0.0,12.0,12.0
classification,standard_easy,cpi,cpi__6e89acc5e72da5a8,125,1,0.36207999999999996,0.36207999999999996,0.6379199999999999,0.0,0.0,0.0,0.8240000000000001,0.8240000000000001,0.17600000000000002,0.0,0.1,0.1,0.9,0.0,-0.7240000000000001,-0.7240000000000001,0.724,0.0,14.0,14.0
classification,standard_easy,et,et__f5580a1865f967c8,125,1,0.54,0.54,0.46,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,2.0,2.0
classification,standard_easy,lgbm,lgbm__71ba9ba402678146,125,1,0.49248000000000003,0.49248000000000003,0.50752,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,10.0,10.0
classification,standard_easy,pi,pi__6e89acc5e72da5a8,125,1,0.41664,0.41664,0.58336,0.0,0.0,0.0,0.9279999999999999,0.9279999999999999,0.07200000000000001,0.0,0.1,0.1,0.9,0.0,-0.828,-0.828,0.8280000000000001,0.0,13.0,13.0
classification,standard_easy,ptest_mc,ptest_mc__307d6fc3284c28e2,125,1,0.47744,0.47744,0.52256,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,11.0,11.0
classification,standard_easy,ptest_rdc,ptest_rdc__307d6fc3284c28e2,125,1,0.50112,0.50112,0.49888,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,7.0,7.0
classification,standard_easy,r_cforest,r_cforest__37be32340835a93b,125,1,0.5136000000000001,0.5136000000000001,0.48640000000000005,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,5.0,5.0
classification,standard_easy,r_ctree,r_ctree__b6e09ceb0eb26367,125,1,0.049120000000000004,0.049120000000000004,0.95088,0.0,0.0,0.0,0.008,0.008,0.992,0.0,0.1,0.1,0.9,0.0,0.092,0.092,-0.09199999999999997,0.0,15.0,15.0
classification,standard_easy,rf,rf__27caa3a0a3b84fd9,125,1,0.54,0.54,0.46,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,2.0,2.0
classification,standard_easy,rfe,rfe__99914b932bd37a50,125,1,0.5376000000000001,0.5376000000000001,0.46240000000000003,0.0,0.0,0.0,0.992,0.992,0.008,0.0,0.1,0.1,0.9,0.0,-0.892,-0.892,0.892,0.0,4.0,4.0
classification,standard_easy,xgb,xgb__1c62fadfc5e2988f,125,1,0.49456,0.49456,0.50544,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,9.0,9.0
classification,standard_hard,boruta,boruta__7f986516a1727870,125,1,0.12,0.12,0.88,0.0,0.0,0.0,0.28,0.28,0.72,0.0,0.022400000000000003,0.022400000000000003,0.9775999999999999,0.0,-0.25760000000000005,-0.25760000000000005,0.25759999999999994,0.0,5.0,5.0
classification,standard_hard,cat,cat__024a0842d4337711,125,1,0.1268,0.1268,0.8732000000000001,0.0,0.0,0.0,0.28800000000000003,0.28800000000000003,0.7120000000000001,0.0,0.0308,0.0308,0.9692000000000001,0.0,-0.25720000000000004,-0.25720000000000004,0.2572,0.0,4.0,4.0
classification,standard_hard,cif,cif__4ee6725d43ec8e5a,125,1,0.0484,0.0484,0.9516,0.0,0.0,0.0,0.08800000000000001,0.08800000000000001,0.912,0.0,0.0212,0.0212,0.9788,0.0,-0.06680000000000001,-0.06680000000000001,0.06679999999999997,0.0,11.0,11.0
classification,standard_hard,cit,cit__bc8d0ddbb26c15b5,125,1,0.09616,0.09616,0.90384,0.0,0.0,0.0,0.24,0.24,0.76,0.0,0.0288,0.0288,0.9712000000000001,0.0,-0.2112,-0.2112,0.21120000000000005,0.0,9.0,9.0
classification,standard_hard,cpi,cpi__6e89acc5e72da5a8,125,1,0.01592,0.01592,0.9840800000000001,0.0,0.0,0.0,0.024000000000000004,0.024000000000000004,0.976,0.0,0.0068000000000000005,0.0068000000000000005,0.9932,0.0,-0.017200000000000003,-0.017200000000000003,0.017199999999999993,0.0,13.0,13.0
classification,standard_hard,et,et__f5580a1865f967c8,125,1,0.10864,0.10864,0.89136,0.0,0.0,0.0,0.248,0.248,0.752,0.0,0.0248,0.0248,0.9752,0.0,-0.2232,-0.2232,0.22319999999999995,0.0,7.0,7.0
classification,standard_hard,lgbm,lgbm__71ba9ba402678146,125,1,0.16552,0.16552,0.83448,0.0,0.0,0.0,0.392,0.392,0.608,0.0,0.0316,0.0316,0.9684,0.0,-0.3604,-0.3604,0.36040000000000005,0.0,2.0,2.0
classification,standard_hard,pi,pi__6e89acc5e72da5a8,125,1,0.018080000000000002,0.018080000000000002,0.9819199999999999,0.0,0.0,0.0,0.032,0.032,0.968,0.0,0.011200000000000002,0.011200000000000002,0.9887999999999999,0.0,-0.0208,-0.0208,0.02079999999999993,0.0,12.0,12.0
classification,standard_hard,ptest_mc,ptest_mc__307d6fc3284c28e2,125,1,0.13872,0.13872,0.8612799999999999,0.0,0.0,0.0,0.36,0.36,0.64,0.0,0.022400000000000003,0.022400000000000003,0.9775999999999999,0.0,-0.3376,-0.3376,0.3375999999999999,0.0,3.0,3.0
classification,standard_hard,ptest_rdc,ptest_rdc__307d6fc3284c28e2,125,1,0.09944,0.09944,0.9005599999999999,0.0,0.0,0.0,0.22400000000000003,0.22400000000000003,0.7760000000000001,0.0,0.028399999999999998,0.028399999999999998,0.9716,0.0,-0.19560000000000002,-0.19560000000000002,0.19559999999999989,0.0,8.0,8.0
classification,standard_hard,r_cforest,r_cforest__37be32340835a93b,125,1,0.00312,0.00312,0.99688,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0068000000000000005,0.0068000000000000005,0.9932,0.0,0.0068000000000000005,0.0068000000000000005,-0.006800000000000028,0.0,14.0,14.0
classification,standard_hard,r_ctree,r_ctree__b6e09ceb0eb26367,125,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0
classification,standard_hard,rf,rf__27caa3a0a3b84fd9,125,1,0.07904000000000001,0.07904000000000001,0.92096,0.0,0.0,0.0,0.17600000000000002,0.17600000000000002,0.8240000000000001,0.0,0.0216,0.0216,0.9784,0.0,-0.1544,-0.1544,0.15439999999999998,0.0,10.0,10.0
classification,standard_hard,rfe,rfe__99914b932bd37a50,125,1,0.11944000000000002,0.11944000000000002,0.8805599999999999,0.0,0.0,0.0,0.30400000000000005,0.30400000000000005,0.696,0.0,0.0236,0.0236,0.9764,0.0,-0.28040000000000004,-0.28040000000000004,0.2804000000000001,0.0,6.0,6.0
classification,standard_hard,xgb,xgb__1c62fadfc5e2988f,125,1,0.19047999999999998,0.19047999999999998,0.80952,0.0,0.0,0.0,0.46399999999999997,0.46399999999999997,0.536,0.0,0.0348,0.0348,0.9652,0.0,-0.42919999999999997,-0.42919999999999997,0.4291999999999999,0.0,1.0,1.0
classification,toeplitz,boruta,boruta__7f986516a1727870,125,1,0.4656,0.4656,0.5344,0.0,0.0,0.0,0.8240000000000001,0.8240000000000001,0.17600000000000002,0.0,0.1,0.1,0.9,0.0,-0.7240000000000001,-0.7240000000000001,0.724,0.0,7.0,7.0
classification,toeplitz,cat,cat__024a0842d4337711,125,1,0.46032,0.46032,0.53968,0.0,0.0,0.0,0.9840000000000001,0.9840000000000001,0.016,0.0,0.1,0.1,0.9,0.0,-0.8840000000000001,-0.8840000000000001,0.884,0.0,8.0,8.0
classification,toeplitz,cif,cif__4ee6725d43ec8e5a,125,1,0.528,0.528,0.472,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,4.5,4.5
classification,toeplitz,cit,cit__bc8d0ddbb26c15b5,125,1,0.21488,0.21488,0.78512,0.0,0.0,0.0,0.43200000000000005,0.43200000000000005,0.568,0.0,0.1,0.1,0.9,0.0,-0.3320000000000001,-0.3320000000000001,0.3320000000000001,0.0,13.0,13.0
classification,toeplitz,cpi,cpi__6e89acc5e72da5a8,125,1,0.11616000000000001,0.11616000000000001,0.8838400000000001,0.0,0.0,0.0,0.16,0.16,0.84,0.0,0.1,0.1,0.9,0.0,-0.06,-0.06,0.06000000000000005,0.0,15.0,15.0
classification,toeplitz,et,et__f5580a1865f967c8,125,1,0.528,0.528,0.472,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,4.5,4.5
classification,toeplitz,lgbm,lgbm__71ba9ba402678146,125,1,0.3864,0.3864,0.6136,0.0,0.0,0.0,0.8320000000000001,0.8320000000000001,0.168,0.0,0.1,0.1,0.9,0.0,-0.7320000000000001,-0.7320000000000001,0.732,0.0,10.0,10.0
classification,toeplitz,pi,pi__6e89acc5e72da5a8,125,1,0.26896,0.26896,0.7310399999999999,0.0,0.0,0.0,0.552,0.552,0.44799999999999995,0.0,0.1,0.1,0.9,0.0,-0.45200000000000007,-0.45200000000000007,0.45200000000000007,0.0,12.0,12.0
classification,toeplitz,ptest_mc,ptest_mc__307d6fc3284c28e2,125,1,0.54,0.54,0.46,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,1.5,1.5
classification,toeplitz,ptest_rdc,ptest_rdc__307d6fc3284c28e2,125,1,0.54,0.54,0.46,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.9,0.0,-0.9,-0.9,0.9,0.0,1.5,1.5
classification,toeplitz,r_cforest,r_cforest__37be32340835a93b,125,1,0.4352,0.4352,0.5648,0.0,0.0,0.0,0.8320000000000001,0.8320000000000001,0.168,0.0,0.1,0.1,0.9,0.0,-0.7320000000000001,-0.7320000000000001,0.732,0.0,9.0,9.0
