task,method_base,method_id,k,n_rankings,n_datasets,effective_k,returned_count,missing_count,dataset_size_cap_count,informative_count,redundant_count,signal_or_redundant_count,explicit_noise_count,background_null_count,pure_noise_count,correlated_noise_count,returned_share,missing_share,dataset_size_cap_share,informative_share,redundant_share,signal_or_redundant_share,explicit_noise_share,background_null_share,pure_noise_share,correlated_noise_share,informative_share_rank,signal_or_redundant_share_rank,pure_noise_share_rank,correlated_noise_share_rank,missing_share_rank
regression,rf,rf__aed17443e3db937d,2,200,8,2.0,2.0,0.0,0.0,1.69,0.25,1.94,0.0,0.06,0.06,0.0,1.0,0.0,0.0,0.845,0.125,0.97,0.0,0.03,0.03,0.0,5.0,1.0,3.0,5.5,8.5
regression,cif,cif__f996d20e25e412cc,2,200,8,2.0,2.0,0.0,0.0,1.645,0.155,1.8,0.0,0.115,0.115,0.085,1.0,0.0,0.0,0.8225,0.0775,0.9,0.0,0.0575,0.0575,0.0425,9.5,11.0,9.0,12.0,8.5
regression,cit,cit__2cd925b5323e9208,2,200,8,2.0,2.0,0.0,0.0,1.63,0.245,1.875,0.0,0.125,0.125,0.0,1.0,0.0,0.0,0.815,0.1225,0.9375,0.0,0.0625,0.0625,0.0,11.0,6.0,10.0,5.5,8.5
regression,et,et__f09eb85fc7f75870,5,200,8,5.0,5.0,0.0,0.0,4.175,0.375,4.55,0.0,0.315,0.315,0.135,1.0,0.0,0.0,0.835,0.075,0.91,0.0,0.063,0.063,0.027000000000000003,2.0,2.0,1.0,10.0,8.5
regression,rf,rf__aed17443e3db937d,5,200,8,5.0,5.0,0.0,0.0,4.12,0.41,4.53,0.0,0.355,0.355,0.115,1.0,0.0,0.0,0.8240000000000001,0.08199999999999999,0.9059999999999999,0.0,0.071,0.071,0.023000000000000003,4.0,3.0,3.0,9.0,8.5
regression,cif,cif__f996d20e25e412cc,5,200,8,5.0,5.0,0.0,0.0,3.82,0.39,4.21,0.0,0.555,0.555,0.235,1.0,0.0,0.0,0.764,0.078,0.8420000000000001,0.0,0.111,0.111,0.047,10.0,10.0,9.0,12.0,8.5
regression,cit,cit__2cd925b5323e9208,5,200,8,5.0,5.0,0.0,0.0,3.195,0.51,3.705,0.0,1.25,1.25,0.045,1.0,0.0,0.0,0.639,0.10200000000000001,0.741,0.0,0.25,0.25,0.009000000000000001,13.0,13.0,14.0,4.0,8.5
regression,et,et__f09eb85fc7f75870,10,200,8,10.0,10.0,0.0,0.0,6.26,0.695,6.955,0.0,2.37,2.37,0.675,1.0,0.0,0.0,0.626,0.0695,0.6955,0.0,0.237,0.237,0.0675,2.0,1.0,1.0,10.0,8.5
regression,rf,rf__aed17443e3db937d,10,200,8,10.0,10.0,0.0,0.0,6.2,0.645,6.845,0.0,2.54,2.54,0.615,1.0,0.0,0.0,0.62,0.0645,0.6845,0.0,0.254,0.254,0.061500000000000006,3.0,3.0,5.0,8.0,8.5
regression,cif,cif__f996d20e25e412cc,10,200,8,10.0,10.0,0.0,0.0,6.035,0.62,6.655,0.0,2.635,2.635,0.71,1.0,0.0,0.0,0.6035,0.062,0.6655,0.0,0.2635,0.2635,0.071,8.0,9.0,7.0,11.5,8.5
regression,cit,cit__2cd925b5323e9208,10,200,8,10.0,10.0,0.0,0.0,4.51,0.71,5.22,0.0,4.34,4.34,0.44,1.0,0.0,0.0,0.451,0.071,0.522,0.0,0.434,0.434,0.044000000000000004,15.0,15.0,15.0,3.0,8.5
regression,et,et__f09eb85fc7f75870,20,200,8,20.0,20.0,0.0,0.0,7.455,1.385,8.84,0.0,9.54,9.54,1.62,1.0,0.0,0.0,0.37274999999999997,0.06925,0.442,0.0,0.47700000000000004,0.47700000000000004,0.081,1.0,4.0,4.0,13.0,8.5
regression,rf,rf__aed17443e3db937d,20,200,8,20.0,20.0,0.0,0.0,7.33,1.09,8.42,0.0,9.955,9.955,1.625,1.0,0.0,0.0,0.3665,0.0545,0.42100000000000004,0.0,0.49774999999999997,0.49774999999999997,0.08125,2.0,8.0,8.0,14.0,8.5
regression,cif,cif__f996d20e25e412cc,20,200,8,20.0,20.0,0.0,0.0,7.195,1.515,8.71,0.0,9.685,9.685,1.605,1.0,0.0,0.0,0.35975,0.07575,0.4355,0.0,0.48424999999999996,0.48424999999999996,0.08025,7.0,5.0,5.0,12.0,8.5
regression,cit,cit__2cd925b5323e9208,20,200,8,20.0,20.0,0.0,0.0,5.265,0.925,6.19,0.0,12.15,12.15,1.66,1.0,0.0,0.0,0.26325,0.04625,0.3095,0.0,0.6075,0.6075,0.083,15.0,15.0,14.0,15.0,8.5
regression,et,et__f09eb85fc7f75870,25,200,8,25.0,25.0,0.0,0.0,7.755,1.56,9.315,0.0,13.685,13.685,2.0,1.0,0.0,0.0,0.3102,0.062400000000000004,0.3726,0.0,0.5474,0.5474,0.08,2.0,5.0,5.0,11.0,8.5
regression,rf,rf__aed17443e3db937d,25,200,8,25.0,25.0,0.0,0.0,7.63,1.15,8.78,0.0,14.23,14.23,1.99,1.0,0.0,0.0,0.30519999999999997,0.046,0.35119999999999996,0.0,0.5692,0.5692,0.0796,6.0,11.0,10.5,8.0,8.5
regression,cif,cif__f996d20e25e412cc,25,200,8,25.0,25.0,0.0,0.0,7.565,1.92,9.485,0.0,13.51,13.51,2.005,1.0,0.0,0.0,0.30260000000000004,0.0768,0.37939999999999996,0.0,0.5404,0.5404,0.0802,8.0,4.0,4.0,14.0,8.5
regression,cit,cit__2cd925b5323e9208,25,200,8,25.0,25.0,0.0,0.0,5.69,1.05,6.74,0.0,16.14,16.14,2.12,1.0,0.0,0.0,0.22760000000000002,0.042,0.2696,0.0,0.6456000000000001,0.6456000000000001,0.0848,15.0,15.0,14.0,16.0,8.5
regression,et,et__f09eb85fc7f75870,50,200,8,50.0,50.0,0.0,0.0,8.55,2.5,11.05,0.0,36.805,36.805,2.145,1.0,0.0,0.0,0.171,0.05,0.221,0.0,0.7361,0.7361,0.0429,7.0,7.0,7.5,9.0,8.5
regression,rf,rf__aed17443e3db937d,50,200,8,50.0,50.0,0.0,0.0,8.53,2.5,11.03,0.0,36.88,36.88,2.09,1.0,0.0,0.0,0.17060000000000003,0.05,0.2206,0.0,0.7376,0.7376,0.041800000000000004,9.5,9.5,10.0,3.0,8.5
regression,cif,cif__f996d20e25e412cc,50,200,8,50.0,50.0,0.0,0.0,8.425,2.5,10.925,0.0,36.89,36.89,2.185,1.0,0.0,0.0,0.1685,0.05,0.21850000000000003,0.0,0.7378,0.7378,0.0437,11.0,11.0,11.0,10.0,8.5
regression,cit,cit__2cd925b5323e9208,50,200,8,50.0,50.0,0.0,0.0,7.055,2.5,9.555,0.0,38.325,38.325,2.12,1.0,0.0,0.0,0.1411,0.05,0.1911,0.0,0.7665000000000001,0.7665000000000001,0.0424,15.0,15.0,14.0,7.0,8.5
regression,et,et__f09eb85fc7f75870,100,200,8,87.5,87.5,0.0,12.5,8.72,2.5,11.22,0.0,73.86,73.86,2.42,1.0,0.0,0.125,0.11220000000000001,0.05,0.16219999999999998,0.0,0.8136,0.8136,0.0242,8.0,8.0,8.0,8.0,8.5
regression,cif,cif__f996d20e25e412cc,100,200,8,87.5,87.5,0.0,12.5,8.71,2.5,11.21,0.0,73.875,73.875,2.415,1.0,0.0,0.125,0.1121,0.05,0.16210000000000002,0.0,0.81375,0.81375,0.02415,10.0,10.0,9.0,7.0,8.5
regression,rf,rf__aed17443e3db937d,100,200,8,87.5,87.5,0.0,12.5,8.71,2.5,11.21,0.0,73.895,73.895,2.395,1.0,0.0,0.125,0.1121,0.05,0.16210000000000002,0.0,0.81395,0.81395,0.02395,10.0,10.0,11.0,5.0,8.5
regression,cit,cit__2cd925b5323e9208,100,200,8,87.5,87.5,0.0,12.5,8.255,2.5,10.755,0.0,74.245,74.245,2.5,1.0,0.0,0.125,0.10755,0.05,0.15755,0.0,0.81745,0.81745,0.025,14.0,14.0,13.0,15.5,8.5
